id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-03-14,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-15,,,,,,,,,,,,1.0
AS14.01,2014-03-16,,,,,,,,,,,,1.0
AS14.01,2014-03-17,,,,,,,,,,,,1.0
AS14.01,2014-03-18,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-19,,,,,,,1.0,,,,,
AS14.01,2014-03-20,0.08154761904761905,5.928071428571429,58.600783783783776,58.476,5.6725,73.43009090909091,1.0,,,,252.8826666937934,
AS14.01,2014-03-21,0.13405010398938863,14.269172727272727,55.09552631578948,53.024,29.968875,75.14166666666667,1.0,0.2,0.2,6.2,153.665871795426,
AS14.01,2014-03-22,0.23688021923995814,7.781159574468085,51.697062499999994,46.662,14.020428571428571,36.636,1.0,0.6,0.5,6.4,47.61365115919778,1.0
AS14.01,2014-03-23,0.14274111580506366,12.134396226415095,53.4420306122449,31.448666666666668,12.137166666666667,50.04661111111111,,0.2,0.8,6.8,67.06764357868985,
AS14.01,2014-03-24,0.07896105611559796,4.982505747126437,47.541687179487184,122.12137499999999,11.093000000000002,74.9680465116279,1.0,0.8,0.0,6.0,76.77219898238471,
AS14.01,2014-03-25,0.09837411239050677,10.026873786407767,69.43750675675676,34.103,29.80316666666667,68.55253571428571,,0.5,0.5,6.75,169.0972834572078,1.0
AS14.01,2014-03-26,0.10130832167007592,8.460123188405797,47.061534031413615,130.06842857142857,16.249666666666666,124.1097027027027,,-0.2,0.6,6.6,94.38966092159006,
AS14.01,2014-03-27,0.15951064096909748,7.982642857142857,43.3532,71.03766666666667,9.755333333333333,71.95238461538462,1.0,0.2,0.8,7.0,69.85682835329823,1.0
AS14.01,2014-03-28,0.09569802163712014,7.316341463414634,24.078694444444444,91.40027272727274,37.6585,25.63705,1.0,-0.6,0.6,6.4,55.94873863187704,
AS14.01,2014-03-29,0.06820281010186964,6.233740740740741,47.73143859649123,108.49526666666667,24.227714285714285,59.111,1.0,0.2,1.0,8.0,130.04096874594688,1.0
AS14.01,2014-03-30,0.049092970521542,7.818207547169812,61.83357142857143,170.63077777777778,12.333833333333333,55.895,,-0.5,0.75,7.5,167.52644447927136,
AS14.01,2014-03-31,0.07050548088338955,7.442589595375723,41.33827131782945,51.73294117647059,24.413999999999998,56.27729166666666,1.0,0.0,0.6,7.4,95.45833871249226,
AS14.01,2014-04-01,0.118443242712736,5.749033195020747,33.12785869565217,42.94320833333333,15.14875,45.81879090909091,1.0,0.2,0.0,6.0,90.38897895812988,
